ep_no,steps_taken,time_taken,rewards
172,88,654,-451.53630139152915
173,63,517,-272.44649031175226
174,45,333,-134.4088428058305
175,82,604,-405.3310700179619
176,76,560,-370.48006032245274
177,185,1372,-1084.2263347234818
178,69,509,-364.7808361820214
179,48,356,-174.4088071142969
180,143,1067,-795.84827259881
181,26,191,-67.27441173404905
182,52,387,-257.4078366424784
183,76,560,-418.1032691689145
184,34,252,-191.75851670644698
185,74,549,-372.66990077913465
186,85,617,-488.9908809712023
187,177,1284,-1065.6387492643473
188,141,1014,-813.1234583638202
189,165,1213,-972.108511839009
190,48,357,-295.2879501839184
191,150,1091,-918.3710841169433
192,82,590,-453.3422110555
193,117,841,-662.7724859043147
194,73,532,-329.92069397354663
195,183,1376,-1113.6318939365397
196,102,747,-562.030087324547
197,113,840,-666.1953033633827
198,40,295,-175.86068169935885
199,149,1102,-865.7525420519078
200,109,802,-652.209350562014
201,90,654,-485.14642729572415
202,61,439,-309.4627375353837
203,129,951,-781.2479062949983
204,71,526,-396.07166394134373
205,59,435,-307.7432901200126
206,188,1378,-1165.8292046881984
207,179,1340,-1024.548673211427
208,315,2291,-2110.5641820427427
209,76,550,-360.0962185437986
210,128,935,-777.3143917551569
211,103,778,-596.8549529566002
212,45,330,-210.760562586812
213,180,1332,-1174.6519774717626
214,84,642,-477.3342206645443
215,38,278,-160.71766248833316
216,43,314,-203.74250156564807
217,34,258,-95.79381166638679
218,61,437,-347.5750676563583
219,85,629,-487.1024126011751
220,94,720,-564.5026026614838
221,57,422,-251.86595457940584
222,62,462,-337.6093938895193
223,28,215,-37.51819793830914
224,29,213,-82.60718454397352
225,63,463,-333.907013017702
226,57,416,-289.3535082455073
227,62,455,-285.54754067153976
228,32,235,-131.71766771472926
229,34,253,-128.13185222417331
230,41,301,-146.09001397603427
231,55,408,-282.5954715602805
232,31,224,-91.75220397860896
233,40,285,-143.46348611376476
234,31,228,-131.9193084127037
235,48,359,-231.76346104409456
236,45,341,-246.09133820675748
237,38,292,-162.05527722094527
238,76,572,-424.8694133763279
239,40,295,-190.4625655947955
240,35,254,-143.53336234777177
241,67,493,-392.2305624007595
242,47,348,-196.02744122217598
243,28,203,-75.67318824435486
244,61,454,-341.10826319504423
245,46,339,-194.56538637224443
246,50,367,-232.54738893088677
247,23,168,-53.76523748187889
248,28,203,-85.66347833196848
249,34,252,-146.58756882965483
250,39,329,-170.25899560073947
251,43,315,-170.71489527623783
252,31,230,-93.46847731136216
253,61,462,-329.6677520317769
254,23,172,-21.08131678091758
255,37,275,-132.46482813965613
256,42,314,-243.4010654377016
257,33,242,-144.10957658747316
258,52,381,-264.49964015387127
259,30,220,-109.57780096447038
260,31,226,-89.07219178193954
261,36,262,-163.45886968982705
262,33,240,-127.21011179801762
263,30,218,-91.03722931760157
264,34,267,-140.84669588344264
265,29,222,-91.07697447017546
266,31,224,-113.1811828103541
267,32,235,-127.64093208697619
268,31,230,-88.5729490133397
269,35,254,-88.72034435622362
270,21,153,-23.76256214501612
271,31,226,-96.7381206657088
272,24,176,-52.805962479912786
273,31,227,-133.8404132788855
274,33,239,-97.07767060339421
275,32,232,-83.43837064474829
276,35,253,-73.74800886038847
277,20,151,-31.779333639109616
278,32,235,-70.70276718897443
279,21,156,-37.41536855851351
280,33,242,-90.58721330191977
281,24,178,-56.0008145834542
282,81,588,-428.33438584514715
283,29,211,-66.09940314682459
284,22,163,-48.14709799833765
285,28,210,-67.99773966571631
286,29,211,-67.67199346029847
287,31,227,-127.62996961238295
288,37,273,-139.12210739459445
289,43,322,-208.29028201311016
290,25,213,-48.805062542038
291,28,210,-85.14285971813612
292,26,188,-71.9297204966226
293,23,167,-51.38236417807845
294,29,218,-118.40149949201627
295,33,245,-115.30467045888415
296,33,242,-109.91856544609178
297,30,219,-103.23675629046619
298,26,188,-83.2195138572104
299,29,213,-104.61857477082779
300,36,262,-157.6002332000702
301,24,177,-66.28021292483373
302,59,434,-306.3774495616377
303,39,290,-182.94739032235705
304,26,198,-77.09145067403387
305,51,376,-246.00340987357322
306,21,155,-44.170749531959004
307,48,348,-235.22262771193553
308,24,177,-63.55727242735726
309,22,173,-33.59098415286993
310,23,181,-57.42869202171225
311,46,331,-196.76964466662022
312,27,200,-60.82231917850133
313,22,162,-39.80790030038756
314,29,209,-77.52520277099202
315,35,257,-153.6677560904414
316,31,227,-121.34145321119671
317,24,180,-60.3539906595956
318,30,221,-107.2439389427065
319,46,330,-204.99124561667708
320,27,197,-84.55550274324736
321,29,209,-96.11841868624792
322,22,160,-51.265237782393044
323,20,158,-3.8851217591778777
324,28,219,-81.36053267134406
325,34,250,-120.14946406985425
326,27,199,-83.50842496441372
327,45,343,-207.46910046908658
328,44,345,-193.14868127554485
329,44,329,-188.54453525596384
330,34,258,-82.241617906631
331,34,265,-112.73854824959662
332,34,285,-57.065835597220214
333,38,282,-150.51000540440708
334,31,229,-91.94658004513128
335,33,247,-105.76254133294569
336,40,301,-149.3560315164975
337,33,245,-114.7299115346666
338,35,257,-111.09828104924388
339,36,262,-149.20077942430618
340,47,341,-233.41306148046655
341,33,242,-102.65278707575561
342,60,435,-304.5826046439391
343,14,102,25.00772571525929
344,40,302,-161.5480229016106
345,57,447,-271.875986910652
346,44,325,-195.85669229022193
347,34,251,-85.43420351117858
348,44,318,-170.89202713155083
349,84,609,-496.3612582005709
350,27,195,-56.65473787055038
351,36,261,-133.21151771792154
352,49,365,-232.07352253420618
353,47,338,-218.82432323532822
354,35,252,-89.43646471879582
355,34,247,-122.37605682923054
356,44,320,-221.64710845926442
357,79,566,-437.73208764544
358,79,578,-422.87922227461917
359,33,248,-95.00269857982035
360,34,264,-115.66843542667046
361,68,492,-385.43953160010096
362,41,300,-187.40696873341972
363,39,304,-173.880059774855
364,101,729,-615.1880614379328
365,64,467,-340.42821137924454
366,67,485,-353.4546097233512
367,80,611,-483.0248593793767
368,71,552,-410.89166284355764
369,51,374,-269.94138981283044
370,28,208,-96.46273284160814
371,30,217,-107.98721293267154
372,68,493,-396.35531494395275
373,49,357,-252.4680809967944
374,45,341,-195.28251463619574
375,31,230,-104.08860412732894
376,36,265,-151.82326894558997
377,33,239,-130.79224052376367
378,74,544,-431.4433400797402
379,40,295,-200.7786465995262
380,52,373,-248.91280243074544
381,94,674,-596.9726995330764
382,46,332,-221.24845304549757
383,36,264,-136.93905813490585
384,64,485,-353.1721501860356
385,36,273,-161.75864110429478
386,83,610,-491.495461696097
387,69,528,-400.06617086094093
388,63,490,-343.8598590886288
389,41,313,-151.92027685817243
390,38,282,-150.7438857795533
391,32,234,-126.38207034589693
392,44,316,-203.33064984932423
