ep_no,steps_taken,time_taken,rewards
279,21,273,-2.0
280,20,255,-0.5
281,22,275,-3.5
282,19,240,0.0
283,22,283,-3.0
284,18,237,0.5
285,18,276,0.5
286,20,256,-20.0
287,20,261,-0.5
288,21,264,-1.0
289,19,243,0.0
290,18,224,0.5
291,18,225,0.5
292,19,236,0.0
293,19,240,0.0
294,18,233,0.5
295,20,255,-2.5
296,18,231,0.0
297,18,236,0.5
298,19,249,0.0
299,19,242,0.0
