ep,steps_taken,time_taken,rewards,epsilon
141,18,140,-56.5,0.3159999999999997
142,20,147,-95.5,0.3139999999999997
143,23,172,-6.0,0.3119999999999997
144,22,165,-24.0,0.3099999999999997
145,24,185,-6.5,0.3079999999999997
146,32,235,-111.5,0.3059999999999997
147,29,224,-50.5,0.3039999999999997
148,35,262,-116.5,0.3019999999999997
149,26,196,-66.0,0.2999999999999997
150,30,226,-51.5,0.2979999999999997
151,25,189,-85.5,0.2959999999999997
152,34,257,-37.0,0.2939999999999997
153,20,147,-21.0,0.2919999999999997
154,34,247,-129.0,0.2899999999999997
155,45,340,-164.5,0.2879999999999997
156,38,333,-22.5,0.2859999999999997
157,31,229,-110.5,0.2839999999999997
158,26,197,-66.5,0.2819999999999997
159,34,251,-95.0,0.2799999999999997
160,27,205,-105.0,0.2779999999999997
161,36,272,-174.5,0.2759999999999997
162,32,245,-53.5,0.2739999999999997
163,23,186,-5.0,0.2719999999999997
164,22,170,-43.0,0.2699999999999997
165,21,164,-41.5,0.2679999999999997
166,18,142,-18.5,0.2659999999999997
167,24,185,-44.0,0.2639999999999997
168,25,194,-47.5,0.2619999999999997
169,22,172,-6.5,0.2599999999999997
170,27,205,-9.5,0.2579999999999997
171,29,221,-14.5,0.2559999999999997
172,23,176,-24.0,0.25399999999999967
173,24,181,-44.0,0.25199999999999967
174,20,155,-59.0,0.24999999999999967
175,27,207,-30.0,0.24799999999999967
176,20,155,-40.0,0.24599999999999966
177,23,177,-24.5,0.24399999999999966
178,30,230,-127.0,0.24199999999999966
179,27,205,-86.0,0.23999999999999966
180,26,200,-47.5,0.23799999999999966
181,25,191,-45.5,0.23599999999999965
182,27,201,-10.0,0.23399999999999965
183,27,207,-29.0,0.23199999999999965
184,23,175,-61.5,0.22999999999999965
185,24,185,-26.5,0.22799999999999965
186,20,161,-21.0,0.22599999999999965
187,23,176,-24.5,0.22399999999999964
188,23,176,-63.5,0.22199999999999964
189,23,175,-80.5,0.21999999999999964
190,19,146,-59.5,0.21799999999999964
191,26,203,-28.0,0.21599999999999964
192,20,158,-1.5,0.21399999999999963
193,24,183,-7.0,0.21199999999999963
194,19,145,-39.0,0.20999999999999963
195,18,141,-19.0,0.20799999999999963
196,20,162,-2.5,0.20599999999999963
197,29,228,-13.0,0.20399999999999963
198,24,186,-6.5,0.20199999999999962
199,19,148,-19.5,0.19999999999999962
200,22,171,-23.0,0.19799999999999962
201,22,175,-5.0,0.19599999999999962
202,26,200,-46.5,0.19399999999999962
203,25,194,-26.5,0.19199999999999962
204,20,158,-1.5,0.1899999999999996
205,23,177,-24.5,0.1879999999999996
206,29,229,-31.5,0.1859999999999996
207,20,162,-2.5,0.1839999999999996
208,18,142,0.0,0.1819999999999996
209,18,169,-19.0,0.1799999999999996
210,20,160,-21.5,0.1779999999999996
211,32,290,-93.0,0.1759999999999996
212,23,211,-43.0,0.1739999999999996
213,20,180,-40.5,0.1719999999999996
214,20,169,-2.0,0.1699999999999996
215,18,153,0.5,0.1679999999999996
216,24,200,-26.0,0.1659999999999996
217,18,152,-0.5,0.1639999999999996
218,21,188,-3.5,0.1619999999999996
219,20,162,-1.5,0.1599999999999996
220,23,180,-25.0,0.15799999999999959
221,20,152,-76.5,0.15599999999999958
222,21,161,-22.0,0.15399999999999958
223,20,162,-21.0,0.15199999999999958
224,25,193,-7.0,0.14999999999999958
225,22,177,-5.0,0.14799999999999958
226,24,184,-43.0,0.14599999999999957
227,19,150,-0.5,0.14399999999999957
228,22,172,-24.0,0.14199999999999957
229,24,191,-5.0,0.13999999999999957
230,22,186,-4.5,0.13799999999999957
231,20,161,-21.5,0.13599999999999957
232,26,207,-45.5,0.13399999999999956
233,21,168,-2.5,0.13199999999999956
234,21,166,-60.5,0.12999999999999956
235,21,171,-2.0,0.12799999999999956
236,19,150,-1.5,0.12599999999999956
237,20,161,-21.0,0.12399999999999956
238,18,143,0.0,0.12199999999999955
239,24,188,-6.5,0.11999999999999955
240,20,162,-1.0,0.11799999999999955
241,22,173,-62.0,0.11599999999999955
242,21,166,-3.0,0.11399999999999955
243,21,166,-79.5,0.11199999999999954
244,21,165,-21.5,0.10999999999999954
245,19,147,-0.5,0.10799999999999954
246,20,154,-2.0,0.10599999999999954
247,20,154,-1.5,0.10399999999999954
248,19,149,0.0,0.10199999999999954
249,19,149,-1.5,0.09999999999999953
250,21,164,-21.5,0.09799999999999953
251,18,143,0.0,0.09599999999999953
252,25,195,-28.0,0.09399999999999953
253,21,172,-22.0,0.09199999999999953
254,23,191,-24.5,0.08999999999999952
255,21,174,-2.0,0.08799999999999952
256,22,173,-5.0,0.08599999999999952
257,18,143,-19.0,0.08399999999999952
258,17,132,-54.0,0.08199999999999952
259,18,145,-18.5,0.07999999999999952
260,22,172,-22.5,0.07799999999999951
261,20,158,-21.0,0.07599999999999951
262,20,156,-1.5,0.07399999999999951
263,19,157,-1.5,0.07199999999999951
264,18,143,-19.0,0.06999999999999951
265,21,166,-3.0,0.0679999999999995
266,18,155,0.0,0.0659999999999995
267,18,153,0.0,0.0639999999999995
268,20,185,-40.5,0.0619999999999995
269,19,150,-20.0,0.0599999999999995
270,19,151,-1.0,0.057999999999999496
271,18,145,0.0,0.055999999999999495
272,20,160,-20.5,0.05399999999999949
273,18,146,0.5,0.05199999999999949
274,18,144,0.5,0.04999999999999949
275,21,164,-2.5,0.04799999999999949
276,21,166,-3.0,0.045999999999999486
277,21,161,-23.0,0.043999999999999484
278,18,144,0.5,0.04199999999999948
279,18,142,0.0,0.03999999999999948
280,21,169,-2.5,0.03799999999999948
281,20,154,-21.0,0.03599999999999948
282,18,139,0.5,0.033999999999999475
283,18,149,0.5,0.03199999999999947
284,18,142,0.5,0.02999999999999947
285,20,154,-2.5,0.02799999999999947
286,19,148,-20.0,0.025999999999999468
287,19,150,0.0,0.023999999999999466
288,18,143,0.5,0.021999999999999464
289,18,141,0.5,0.019999999999999463
290,18,139,0.5,0.01799999999999946
291,18,140,0.5,0.01599999999999946
292,18,140,0.5,0.013999999999999459
293,19,148,-0.5,0.011999999999999459
294,19,155,0.0,0.01
295,18,146,0.5,0.01
296,20,155,-21.0,0.01
297,18,141,0.5,0.01
298,18,140,0.5,0.01
299,18,141,0.5,0.01
