ep,steps_taken,time_taken,rewards,epsilon
142,27,143,-27.5,0.3139999999999997
143,40,205,-119.5,0.3119999999999997
144,30,161,-51.0,0.3099999999999997
145,25,135,-27.5,0.3079999999999997
146,32,172,-110.5,0.3059999999999997
147,33,173,-18.0,0.3039999999999997
148,31,160,-53.5,0.3019999999999997
149,29,162,-70.0,0.2999999999999997
150,26,165,-28.0,0.2979999999999997
151,19,102,-0.5,0.2959999999999997
152,22,115,-42.0,0.2939999999999997
153,22,116,-5.5,0.2919999999999997
154,30,156,-88.5,0.2899999999999997
155,24,124,-6.0,0.2879999999999997
156,50,260,-111.5,0.2859999999999997
157,24,129,-63.5,0.2839999999999997
158,27,142,-29.5,0.2819999999999997
159,28,147,-11.5,0.2799999999999997
160,24,129,-25.5,0.2779999999999997
161,25,131,-64.5,0.2759999999999997
162,21,110,-22.0,0.2739999999999997
163,24,122,-63.0,0.2719999999999997
164,24,127,-8.0,0.2699999999999997
165,25,131,-47.0,0.2679999999999997
166,31,158,-54.0,0.2659999999999997
167,31,160,-33.5,0.2639999999999997
168,22,111,-24.0,0.2619999999999997
169,25,131,-27.0,0.2599999999999997
170,26,136,-7.5,0.2579999999999997
171,20,103,-21.5,0.2559999999999997
172,30,155,-51.0,0.25399999999999967
173,39,200,-80.5,0.25199999999999967
174,25,130,-8.0,0.24999999999999967
175,22,115,-22.5,0.24799999999999967
176,20,104,-20.5,0.24599999999999966
177,26,136,-9.0,0.24399999999999966
178,30,154,-129.0,0.24199999999999966
179,16,84,-35.0,0.23999999999999966
180,30,157,-14.0,0.23799999999999966
181,23,118,-24.0,0.23599999999999965
182,21,109,-3.5,0.23399999999999965
183,19,98,-39.0,0.23199999999999965
184,28,144,-48.5,0.22999999999999965
185,23,117,-26.0,0.22799999999999965
186,32,164,-33.5,0.22599999999999965
187,27,140,-47.5,0.22399999999999964
188,26,132,-28.0,0.22199999999999964
189,20,105,-1.5,0.21999999999999964
190,39,203,-81.0,0.21799999999999964
191,21,112,-23.0,0.21599999999999964
192,25,129,-44.5,0.21399999999999963
193,27,140,-67.5,0.21199999999999963
194,26,138,-27.0,0.20999999999999963
