ep_no,steps_taken,time_taken,rewards
285,18,92,-0.5
286,18,92,-0.5
287,20,102,-1.5
288,13,68,-13.5
289,20,103,-3.5
290,19,98,-1.0
291,18,93,-0.5
292,18,95,-0.5
293,19,98,-1.0
294,19,99,-1.5
295,19,98,-20.5
296,18,93,-0.5
297,18,94,-0.5
298,18,92,-0.5
299,18,94,-0.5
ep_no,steps_taken,time_taken,rewards
,,,
0,71,223,-343.5
1,181,811,-795.0
2,482,2299,-1345.0
3,579,2788,-2234.0
4,896,4240,-3421.5
5,166,799,-527.5
6,525,2690,-2173.0
7,444,2121,-1900.5
8,144,700,-729.5
9,351,1707,-2013.5
10,195,923,-859.5
11,111,536,-462.5
12,180,865,-918.5
13,309,1482,-1270.5
14,112,535,-516.0
15,72,345,-342.0
16,190,956,-1007.5
17,282,1354,-1218.0
18,27,132,-104.5
19,164,808,-647.5
20,381,1879,-1792.0
21,83,402,-299.0
22,91,438,-344.0
23,30,145,-220.5
24,79,386,-365.5
25,42,207,-141.5
26,178,868,-768.0
27,274,1331,-1120.5
28,147,717,-537.5
29,210,1049,-972.0
30,360,1743,-1449.5
31,60,294,-255.0
32,36,175,-132.0
33,35,170,-208.0
34,150,725,-509.5
35,45,217,-164.0
36,132,647,-450.5
37,354,1724,-1717.0
38,43,209,-273.0
39,113,554,-368.0
40,63,306,-315.5
41,132,645,-601.5
42,110,543,-555.0
43,116,574,-601.0
44,151,759,-769.5
45,308,1659,-1226.5
46,37,182,-152.0
47,242,1209,-876.5
48,77,381,-163.5
49,224,1102,-774.5
50,64,316,-333.5
51,46,225,-165.0
52,34,168,-225.5
53,25,123,-124.0
54,74,367,-322.5
55,54,267,-169.0
56,35,174,-92.5
57,106,523,-283.5
58,71,355,-170.5
59,342,1695,-566.0
60,272,1329,-740.5
61,17,84,-129.5
62,72,385,-252.5
63,61,294,-204.5
64,182,897,-428.5
65,35,170,-133.5
66,22,107,-80.0
67,36,179,-132.0
68,65,325,-181.0
69,30,148,-167.0
70,174,859,-659.0
71,83,415,-507.5
72,39,195,-41.0
73,63,316,-279.5
74,96,480,-444.5
75,61,314,-274.0
76,82,411,-393.5
77,22,110,-119.0
78,12,63,-12.5
79,45,221,-145.0
80,21,105,-60.0
81,35,174,-153.5
82,48,242,-202.5
83,29,146,-163.0
84,26,128,-142.0
85,22,109,-79.5
86,26,134,-123.5
87,49,245,-150.0
88,39,190,-195.5
89,32,158,-90.5
90,23,113,-25.0
91,32,155,-72.5
92,85,419,-437.0
93,19,94,-59.5
94,28,135,-127.5
95,25,123,-84.5
96,20,209,-22.0
97,69,340,-121.5
98,22,108,-120.0
99,23,112,-82.5
100,31,151,-203.5
101,30,147,-36.5
102,17,84,-38.0
103,15,78,-16.0
104,18,92,-77.5
105,17,87,-37.0
106,16,82,-35.5
107,14,71,-34.5
108,20,120,-136.0
109,35,172,-115.0
110,24,119,-81.0
111,25,124,-83.0
112,46,227,-127.0
113,19,96,-20.5
114,452,2266,-1548.0
115,15,74,-35.0
116,89,438,-326.5
117,71,356,-210.0
118,69,339,-244.5
119,51,251,-130.0
120,142,709,-436.0
121,109,539,-324.0
122,37,190,-95.5
123,189,940,-465.0
124,37,181,-248.0
125,32,157,-54.0
126,32,157,-128.0
127,33,165,-17.5
128,47,242,-239.5
129,114,571,-347.5
130,18,89,-38.0
131,30,148,-108.0
132,21,104,-42.0
133,71,355,-190.0
134,34,169,-189.0
135,34,167,-206.0
136,46,230,-85.5
137,24,120,-83.0
138,40,221,-138.5
139,32,171,-128.5
140,18,91,-57.5
141,34,174,-74.0
142,48,247,-242.5
143,43,221,-102.0
144,84,421,-238.0
145,31,178,-12.0
146,30,159,-70.5
147,32,181,-73.0
148,27,141,-30.0
149,14,71,-34.0
150,33,170,-92.5
151,37,192,-135.0
152,33,164,-130.0
153,15,80,-55.0
154,21,106,-98.0
155,20,102,-40.0
156,29,146,-68.5
157,26,133,-66.0
158,14,71,-53.5
159,36,184,-116.5
160,19,97,-21.0
161,28,143,-30.5
162,25,127,-66.0
163,33,167,-92.5
164,19,99,-1.5
165,22,115,-24.0
166,25,130,-9.0
167,23,116,-84.0
168,25,125,-66.5
169,24,126,-120.5
170,18,93,-0.5
171,26,132,-66.0
172,30,153,-53.5
173,23,117,-25.0
174,23,119,-63.5
175,20,103,-2.5
176,21,105,-3.5
